source_table,source_record_id,issue_type,issue_category,severity,issue_description,raw_value,suggested_action,created_at,resolution_path,review_status,assigned_to,review_notes,resolved_at,exception_title
raw.maintenance_work_orders_raw,WO-2025-000787,Closed date before open date,Date Logic,High,"DATETIME_CLOSED occurs before DATETIME_OPEN, making turnaround-time calculations unreliable.",Open: 2025-12-17 21:45:00; Closed: 12/16/2025 08:45,Exclude from cycle-time metrics until corrected by source owner.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Closed date before open date | raw.maintenance_work_orders_raw | WO-2025-000787
raw.maintenance_work_orders_raw,WO-2026-000806,Closed date before open date,Date Logic,High,"DATETIME_CLOSED occurs before DATETIME_OPEN, making turnaround-time calculations unreliable.",Open: 2024-12-19 08:10:00; Closed: 2024-12-18 00:10:00,Exclude from cycle-time metrics until corrected by source owner.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Closed date before open date | raw.maintenance_work_orders_raw | WO-2026-000806
raw.maintenance_work_orders_raw,WO-2024-000855,Closed date before open date,Date Logic,High,"DATETIME_CLOSED occurs before DATETIME_OPEN, making turnaround-time calculations unreliable.",Open: 12/13/2024 23:45; Closed: 2024-12-11 16:45:00,Exclude from cycle-time metrics until corrected by source owner.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Closed date before open date | raw.maintenance_work_orders_raw | WO-2024-000855
raw.maintenance_work_orders_raw,WO-2025-000967,Closed date before open date,Date Logic,High,"DATETIME_CLOSED occurs before DATETIME_OPEN, making turnaround-time calculations unreliable.",Open: 2024-04-20 18:20:00; Closed: 2024-04-20 03:20:00,Exclude from cycle-time metrics until corrected by source owner.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Closed date before open date | raw.maintenance_work_orders_raw | WO-2025-000967
raw.maintenance_work_orders_raw,WO-2024-000999,Closed date before open date,Date Logic,High,"DATETIME_CLOSED occurs before DATETIME_OPEN, making turnaround-time calculations unreliable.",Open: 2024-08-07 08:20:00; Closed: 2024-08-07 04:20:00,Exclude from cycle-time metrics until corrected by source owner.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Closed date before open date | raw.maintenance_work_orders_raw | WO-2024-000999
raw.maintenance_work_orders_raw,WO-2026-001007,Closed date before open date,Date Logic,High,"DATETIME_CLOSED occurs before DATETIME_OPEN, making turnaround-time calculations unreliable.",Open: 2024-07-21 13:30:00; Closed: 2024-07-18 14:30:00,Exclude from cycle-time metrics until corrected by source owner.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Closed date before open date | raw.maintenance_work_orders_raw | WO-2026-001007
raw.maintenance_work_orders_raw,WO-2024-001020,Closed date before open date,Date Logic,High,"DATETIME_CLOSED occurs before DATETIME_OPEN, making turnaround-time calculations unreliable.",Open: 2025-06-04 05:30:00; Closed: 2025-06-02 00:30:00,Exclude from cycle-time metrics until corrected by source owner.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Closed date before open date | raw.maintenance_work_orders_raw | WO-2024-001020
raw.maintenance_work_orders_raw,WO-2025-001147,Closed date before open date,Date Logic,High,"DATETIME_CLOSED occurs before DATETIME_OPEN, making turnaround-time calculations unreliable.",Open: 2025-09-11 05:00:00; Closed: 2025-09-09 02:00:00,Exclude from cycle-time metrics until corrected by source owner.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Closed date before open date | raw.maintenance_work_orders_raw | WO-2025-001147
raw.maintenance_work_orders_raw,WO-2026-001490,Closed date before open date,Date Logic,High,"DATETIME_CLOSED occurs before DATETIME_OPEN, making turnaround-time calculations unreliable.",Open: 02/25/2026 06:15; Closed: 2026-02-23 20:15:00,Exclude from cycle-time metrics until corrected by source owner.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Closed date before open date | raw.maintenance_work_orders_raw | WO-2026-001490
raw.maintenance_work_orders_raw,WO-2026-001493,Closed date before open date,Date Logic,High,"DATETIME_CLOSED occurs before DATETIME_OPEN, making turnaround-time calculations unreliable.",Open: 2024-07-16 13:45:00; Closed: 07/14/2024 11:45,Exclude from cycle-time metrics until corrected by source owner.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Closed date before open date | raw.maintenance_work_orders_raw | WO-2026-001493
raw.maintenance_work_orders_raw,WO-2026-001772,Closed date before open date,Date Logic,High,"DATETIME_CLOSED occurs before DATETIME_OPEN, making turnaround-time calculations unreliable.",Open: 2026-01-19 10:00:00; Closed: 2026-01-18 06:00:00,Exclude from cycle-time metrics until corrected by source owner.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Closed date before open date | raw.maintenance_work_orders_raw | WO-2026-001772
raw.maintenance_work_orders_raw,WO-2025-001834,Closed date before open date,Date Logic,High,"DATETIME_CLOSED occurs before DATETIME_OPEN, making turnaround-time calculations unreliable.",Open: 2025-04-03 22:05:00; Closed: 2025-04-02 18:05:00,Exclude from cycle-time metrics until corrected by source owner.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Closed date before open date | raw.maintenance_work_orders_raw | WO-2025-001834
raw.maintenance_work_orders_raw,WO-2024-001869,Closed date before open date,Date Logic,High,"DATETIME_CLOSED occurs before DATETIME_OPEN, making turnaround-time calculations unreliable.",Open: 2024-07-22 11:10:00; Closed: 2024-07-19 17:10:00,Exclude from cycle-time metrics until corrected by source owner.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Closed date before open date | raw.maintenance_work_orders_raw | WO-2024-001869
raw.maintenance_work_orders_raw,WO-2026-002231,Closed date before open date,Date Logic,High,"DATETIME_CLOSED occurs before DATETIME_OPEN, making turnaround-time calculations unreliable.",Open: 2024-01-03 23:05:00; Closed: 2024-01-03 03:05:00,Exclude from cycle-time metrics until corrected by source owner.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Closed date before open date | raw.maintenance_work_orders_raw | WO-2026-002231
raw.maintenance_work_orders_raw,WO-2024-002241,Closed date before open date,Date Logic,High,"DATETIME_CLOSED occurs before DATETIME_OPEN, making turnaround-time calculations unreliable.",Open: 2025-01-07 18:05:00; Closed: 2025-01-06 15:05:00,Exclude from cycle-time metrics until corrected by source owner.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Closed date before open date | raw.maintenance_work_orders_raw | WO-2024-002241
raw.maintenance_work_orders_raw,WO-2026-002267,Closed date before open date,Date Logic,High,"DATETIME_CLOSED occurs before DATETIME_OPEN, making turnaround-time calculations unreliable.",Open: 2025-02-18 06:30:00; Closed: 2025-02-17 22:30:00,Exclude from cycle-time metrics until corrected by source owner.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Closed date before open date | raw.maintenance_work_orders_raw | WO-2026-002267
raw.maintenance_work_orders_raw,WO-2024-002307,Closed date before open date,Date Logic,High,"DATETIME_CLOSED occurs before DATETIME_OPEN, making turnaround-time calculations unreliable.",Open: 2024-09-18 01:10:00; Closed: 2024-09-16 06:10:00,Exclude from cycle-time metrics until corrected by source owner.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Closed date before open date | raw.maintenance_work_orders_raw | WO-2024-002307
raw.maintenance_work_orders_raw,WO-2024-002445,Closed date before open date,Date Logic,High,"DATETIME_CLOSED occurs before DATETIME_OPEN, making turnaround-time calculations unreliable.",Open: 2025-02-27 04:30:00; Closed: 2025-02-26 14:30:00,Exclude from cycle-time metrics until corrected by source owner.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Closed date before open date | raw.maintenance_work_orders_raw | WO-2024-002445
raw.maintenance_work_orders_raw,WO-2025-002707,Closed date before open date,Date Logic,High,"DATETIME_CLOSED occurs before DATETIME_OPEN, making turnaround-time calculations unreliable.",Open: 2025-10-17 20:00:00; Closed: 2025-10-17 19:00:00,Exclude from cycle-time metrics until corrected by source owner.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Closed date before open date | raw.maintenance_work_orders_raw | WO-2025-002707
raw.maintenance_work_orders_raw,WO-2026-002747,Closed date before open date,Date Logic,High,"DATETIME_CLOSED occurs before DATETIME_OPEN, making turnaround-time calculations unreliable.",Open: 2024-02-21 08:15:00; Closed: 2024-02-20 16:15:00,Exclude from cycle-time metrics until corrected by source owner.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Closed date before open date | raw.maintenance_work_orders_raw | WO-2026-002747
raw.maintenance_work_orders_raw,WO-2025-002947,Closed date before open date,Date Logic,High,"DATETIME_CLOSED occurs before DATETIME_OPEN, making turnaround-time calculations unreliable.",Open: 2026-01-12 21:05:00; Closed: 2026-01-11 09:05:00,Exclude from cycle-time metrics until corrected by source owner.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Closed date before open date | raw.maintenance_work_orders_raw | WO-2025-002947
raw.maintenance_work_orders_raw,WO-2025-003031,Closed date before open date,Date Logic,High,"DATETIME_CLOSED occurs before DATETIME_OPEN, making turnaround-time calculations unreliable.",Open: 2024-01-22 12:05:00; Closed: 2024-01-19 18:05:00,Exclude from cycle-time metrics until corrected by source owner.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Closed date before open date | raw.maintenance_work_orders_raw | WO-2025-003031
raw.maintenance_work_orders_raw,WO-2026-003167,Closed date before open date,Date Logic,High,"DATETIME_CLOSED occurs before DATETIME_OPEN, making turnaround-time calculations unreliable.",Open: 2024-03-29 11:30:00; Closed: 2024-03-28 02:30:00,Exclude from cycle-time metrics until corrected by source owner.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Closed date before open date | raw.maintenance_work_orders_raw | WO-2026-003167
raw.maintenance_work_orders_raw,WO-2026-003263,Closed date before open date,Date Logic,High,"DATETIME_CLOSED occurs before DATETIME_OPEN, making turnaround-time calculations unreliable.",Open: 2024-06-11 08:15:00; Closed: 2024-06-09 11:15:00,Exclude from cycle-time metrics until corrected by source owner.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Closed date before open date | raw.maintenance_work_orders_raw | WO-2026-003263
raw.maintenance_work_orders_raw,WO-2025-003385,Closed date before open date,Date Logic,High,"DATETIME_CLOSED occurs before DATETIME_OPEN, making turnaround-time calculations unreliable.",Open: 11/12/2025 10:05; Closed: 2025-11-10 17:05:00,Exclude from cycle-time metrics until corrected by source owner.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Closed date before open date | raw.maintenance_work_orders_raw | WO-2025-003385
raw.maintenance_work_orders_raw,WO-2024-003450,Closed date before open date,Date Logic,High,"DATETIME_CLOSED occurs before DATETIME_OPEN, making turnaround-time calculations unreliable.",Open: 2026-03-27 19:45:00; Closed: 2026-03-27 04:45:00,Exclude from cycle-time metrics until corrected by source owner.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Closed date before open date | raw.maintenance_work_orders_raw | WO-2024-003450
raw.maintenance_work_orders_raw,WO-2026-003488,Closed date before open date,Date Logic,High,"DATETIME_CLOSED occurs before DATETIME_OPEN, making turnaround-time calculations unreliable.",Open: 2024-06-13 13:05:00; Closed: 2024-06-12 09:05:00,Exclude from cycle-time metrics until corrected by source owner.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Closed date before open date | raw.maintenance_work_orders_raw | WO-2026-003488
raw.maintenance_work_orders_raw,WO-2025-003553,Closed date before open date,Date Logic,High,"DATETIME_CLOSED occurs before DATETIME_OPEN, making turnaround-time calculations unreliable.",Open: 2025-05-24 00:00:00; Closed: 2025-05-22 04:00:00,Exclude from cycle-time metrics until corrected by source owner.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Closed date before open date | raw.maintenance_work_orders_raw | WO-2025-003553
raw.maintenance_work_orders_raw,WO-2025-003580,Closed date before open date,Date Logic,High,"DATETIME_CLOSED occurs before DATETIME_OPEN, making turnaround-time calculations unreliable.",Open: 2024-02-27 22:15:00; Closed: 2024-02-25 15:15:00,Exclude from cycle-time metrics until corrected by source owner.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Closed date before open date | raw.maintenance_work_orders_raw | WO-2025-003580
raw.maintenance_work_orders_raw,WO-2026-003731,Closed date before open date,Date Logic,High,"DATETIME_CLOSED occurs before DATETIME_OPEN, making turnaround-time calculations unreliable.",Open: 2024-06-08 22:30:00; Closed: 2024-06-06 06:30:00,Exclude from cycle-time metrics until corrected by source owner.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Closed date before open date | raw.maintenance_work_orders_raw | WO-2026-003731
raw.maintenance_work_orders_raw,WO-2024-003756,Closed date before open date,Date Logic,High,"DATETIME_CLOSED occurs before DATETIME_OPEN, making turnaround-time calculations unreliable.",Open: 2024-06-27 03:05:00; Closed: 2024-06-26 18:05:00,Exclude from cycle-time metrics until corrected by source owner.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Closed date before open date | raw.maintenance_work_orders_raw | WO-2024-003756
raw.maintenance_work_orders_raw,WO-2024-003798,Closed date before open date,Date Logic,High,"DATETIME_CLOSED occurs before DATETIME_OPEN, making turnaround-time calculations unreliable.",Open: 07/13/2024 13:10; Closed: 2024-07-12 03:10:00,Exclude from cycle-time metrics until corrected by source owner.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Closed date before open date | raw.maintenance_work_orders_raw | WO-2024-003798
raw.maintenance_work_orders_raw,WO-2024-003915,Closed date before open date,Date Logic,High,"DATETIME_CLOSED occurs before DATETIME_OPEN, making turnaround-time calculations unreliable.",Open: 2025-07-19 05:30:00; Closed: 2025-07-18 16:30:00,Exclude from cycle-time metrics until corrected by source owner.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Closed date before open date | raw.maintenance_work_orders_raw | WO-2024-003915
raw.maintenance_work_orders_raw,WO-2024-000009,Closed date before open date,Date Logic,High,"DATETIME_CLOSED occurs before DATETIME_OPEN, making turnaround-time calculations unreliable.",Open: 2024-01-07 01:00:00; Closed: 2024-01-05 12:00:00,Exclude from cycle-time metrics until corrected by source owner.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Closed date before open date | raw.maintenance_work_orders_raw | WO-2024-000009
raw.maintenance_work_orders_raw,WO-2025-000115,Closed date before open date,Date Logic,High,"DATETIME_CLOSED occurs before DATETIME_OPEN, making turnaround-time calculations unreliable.",Open: 2024-09-02 13:00:00; Closed: 2024-09-01 23:00:00,Exclude from cycle-time metrics until corrected by source owner.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Closed date before open date | raw.maintenance_work_orders_raw | WO-2025-000115
raw.maintenance_work_orders_raw,WO-2025-000844,Orphan equipment reference,Referential Integrity,High,Work order equipment number does not match any asset_no in vehicle master.,99159,Keep one primary record for clean reporting and route duplicate records for review.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Orphan equipment reference | raw.maintenance_work_orders_raw | WO-2025-000844
raw.maintenance_work_orders_raw,WO-2026-002891,Orphan equipment reference,Referential Integrity,High,Work order equipment number does not match any asset_no in vehicle master.,99159,Keep one primary record for clean reporting and route duplicate records for review.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Orphan equipment reference | raw.maintenance_work_orders_raw | WO-2026-002891
raw.maintenance_work_orders_raw,WO-2026-000614,Orphan equipment reference,Referential Integrity,High,Work order equipment number does not match any asset_no in vehicle master.,99901,Keep one primary record for clean reporting and route duplicate records for review.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Orphan equipment reference | raw.maintenance_work_orders_raw | WO-2026-000614
raw.maintenance_work_orders_raw,WO-2025-000688,Orphan equipment reference,Referential Integrity,High,Work order equipment number does not match any asset_no in vehicle master.,99747,Keep one primary record for clean reporting and route duplicate records for review.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Orphan equipment reference | raw.maintenance_work_orders_raw | WO-2025-000688
raw.maintenance_work_orders_raw,WO-2026-000665,Orphan equipment reference,Referential Integrity,High,Work order equipment number does not match any asset_no in vehicle master.,99828,Keep one primary record for clean reporting and route duplicate records for review.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Orphan equipment reference | raw.maintenance_work_orders_raw | WO-2026-000665
raw.maintenance_work_orders_raw,WO-2025-000223,Orphan equipment reference,Referential Integrity,High,Work order equipment number does not match any asset_no in vehicle master.,99758,Keep one primary record for clean reporting and route duplicate records for review.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Orphan equipment reference | raw.maintenance_work_orders_raw | WO-2025-000223
raw.maintenance_work_orders_raw,WO-2026-001994,Orphan equipment reference,Referential Integrity,High,Work order equipment number does not match any asset_no in vehicle master.,99947,Keep one primary record for clean reporting and route duplicate records for review.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Orphan equipment reference | raw.maintenance_work_orders_raw | WO-2026-001994
raw.maintenance_work_orders_raw,WO-2025-003787,Orphan equipment reference,Referential Integrity,High,Work order equipment number does not match any asset_no in vehicle master.,99963,Keep one primary record for clean reporting and route duplicate records for review.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Orphan equipment reference | raw.maintenance_work_orders_raw | WO-2025-003787
raw.maintenance_work_orders_raw,WO-2025-002980,Orphan equipment reference,Referential Integrity,High,Work order equipment number does not match any asset_no in vehicle master.,99410,Keep one primary record for clean reporting and route duplicate records for review.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Orphan equipment reference | raw.maintenance_work_orders_raw | WO-2025-002980
raw.maintenance_work_orders_raw,WO-2024-003642,Orphan equipment reference,Referential Integrity,High,Work order equipment number does not match any asset_no in vehicle master.,99750,Keep one primary record for clean reporting and route duplicate records for review.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Orphan equipment reference | raw.maintenance_work_orders_raw | WO-2024-003642
raw.maintenance_work_orders_raw,WO-2026-000410,Orphan equipment reference,Referential Integrity,High,Work order equipment number does not match any asset_no in vehicle master.,99536,Keep one primary record for clean reporting and route duplicate records for review.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Orphan equipment reference | raw.maintenance_work_orders_raw | WO-2026-000410
raw.maintenance_work_orders_raw,WO-2024-001689,Orphan equipment reference,Referential Integrity,High,Work order equipment number does not match any asset_no in vehicle master.,99987,Keep one primary record for clean reporting and route duplicate records for review.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Orphan equipment reference | raw.maintenance_work_orders_raw | WO-2024-001689
raw.maintenance_work_orders_raw,WO-2025-002032,Orphan equipment reference,Referential Integrity,High,Work order equipment number does not match any asset_no in vehicle master.,99987,Keep one primary record for clean reporting and route duplicate records for review.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Orphan equipment reference | raw.maintenance_work_orders_raw | WO-2025-002032
raw.maintenance_work_orders_raw,WO-2026-002399,Orphan equipment reference,Referential Integrity,High,Work order equipment number does not match any asset_no in vehicle master.,99547,Keep one primary record for clean reporting and route duplicate records for review.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Orphan equipment reference | raw.maintenance_work_orders_raw | WO-2026-002399
raw.maintenance_work_orders_raw,WO-2024-002202,Orphan equipment reference,Referential Integrity,High,Work order equipment number does not match any asset_no in vehicle master.,99761,Keep one primary record for clean reporting and route duplicate records for review.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Orphan equipment reference | raw.maintenance_work_orders_raw | WO-2024-002202
raw.maintenance_work_orders_raw,WO-2025-002431,Orphan equipment reference,Referential Integrity,High,Work order equipment number does not match any asset_no in vehicle master.,99872,Keep one primary record for clean reporting and route duplicate records for review.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Orphan equipment reference | raw.maintenance_work_orders_raw | WO-2025-002431
raw.maintenance_work_orders_raw,WO-2026-003344,Orphan equipment reference,Referential Integrity,High,Work order equipment number does not match any asset_no in vehicle master.,99273,Keep one primary record for clean reporting and route duplicate records for review.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Orphan equipment reference | raw.maintenance_work_orders_raw | WO-2026-003344
raw.maintenance_work_orders_raw,WO-2024-001746,Orphan equipment reference,Referential Integrity,High,Work order equipment number does not match any asset_no in vehicle master.,99855,Keep one primary record for clean reporting and route duplicate records for review.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Orphan equipment reference | raw.maintenance_work_orders_raw | WO-2024-001746
raw.maintenance_work_orders_raw,WO-2026-000041,Orphan equipment reference,Referential Integrity,High,Work order equipment number does not match any asset_no in vehicle master.,99855,Keep one primary record for clean reporting and route duplicate records for review.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Orphan equipment reference | raw.maintenance_work_orders_raw | WO-2026-000041
raw.maintenance_work_orders_raw,WO-2026-000530,Orphan equipment reference,Referential Integrity,High,Work order equipment number does not match any asset_no in vehicle master.,99633,Keep one primary record for clean reporting and route duplicate records for review.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Orphan equipment reference | raw.maintenance_work_orders_raw | WO-2026-000530
raw.maintenance_work_orders_raw,WO-2025-002398,Orphan equipment reference,Referential Integrity,High,Work order equipment number does not match any asset_no in vehicle master.,99298,Keep one primary record for clean reporting and route duplicate records for review.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Orphan equipment reference | raw.maintenance_work_orders_raw | WO-2025-002398
raw.maintenance_work_orders_raw,WO-2026-001772,Orphan equipment reference,Referential Integrity,High,Work order equipment number does not match any asset_no in vehicle master.,99172,Keep one primary record for clean reporting and route duplicate records for review.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Orphan equipment reference | raw.maintenance_work_orders_raw | WO-2026-001772
raw.maintenance_work_orders_raw,WO-2025-002755,Orphan equipment reference,Referential Integrity,High,Work order equipment number does not match any asset_no in vehicle master.,99193,Keep one primary record for clean reporting and route duplicate records for review.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Orphan equipment reference | raw.maintenance_work_orders_raw | WO-2025-002755
raw.maintenance_work_orders_raw,WO-2026-003446,Orphan equipment reference,Referential Integrity,High,Work order equipment number does not match any asset_no in vehicle master.,99773,Keep one primary record for clean reporting and route duplicate records for review.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Orphan equipment reference | raw.maintenance_work_orders_raw | WO-2026-003446
raw.maintenance_work_orders_raw,WO-2025-002224,Orphan equipment reference,Referential Integrity,High,Work order equipment number does not match any asset_no in vehicle master.,99862,Keep one primary record for clean reporting and route duplicate records for review.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Orphan equipment reference | raw.maintenance_work_orders_raw | WO-2025-002224
raw.maintenance_work_orders_raw,WO-2026-003509,Orphan equipment reference,Referential Integrity,High,Work order equipment number does not match any asset_no in vehicle master.,99407,Keep one primary record for clean reporting and route duplicate records for review.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Orphan equipment reference | raw.maintenance_work_orders_raw | WO-2026-003509
